no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
2207,3010,3010,Jewlery,Sona Gold Nx,400.00 - 795.00 - 22.000,400.00 , 795.00 , 22.000,22,600
2208,3011,3011,Jewlery,Head Chain 3011,250.00 - 595.00 - 1.000,250.00 , 595.00 , 1.000,1,400
1341,3012,3012,Skin care,Nail Sticker,50.00 - 100.00 - 2.000,50.00 , 100.00 , 2.000,2,80
2209,3013,3013,Jewlery,Passion 4 Fashion Chain,280.00 - 595.00 - 9.000,280.00 , 595.00 , 9.000,9,400
2210,3014,3014,Jewlery,Diana Chain 3014,300.00 - 795.00 - 14.000,300.00 , 795.00 , 14.000,14,550
3826,3015,3015,Party items,Birthday Banner 3015,300.00 - 595.00 - 0.000,300.00 , 595.00 , 0.000,0,450
3827,3016,3016,Party items,Birthday Hat Small,50.00 - 100.00 - 36.000,50.00 , 100.00 , 36.000,36,100
3828,3017,3017,Party items,Birthday Candles Small,30.00 - 100.00 - 30.000,30.00 , 100.00 , 30.000,30,100
3829,3018,3018,Party items,Birthday hat 3018,130.00 - 295.00 - 9.000,130.00 , 295.00 , 9.000,9,180
3830,3019,3019,Party items,Color Smoke,600.00 - 1150.00 - 0.000,600.00 , 1150.00 , 0.000,0,1000
2211,3020,3020,Jewlery,Diana Chain 3020,500.00 - 1295.00 - 17.000,500.00 , 1295.00 , 17.000,17,850
2212,3021,3021,Jewlery,Diana Chain 3021,200.00 - 565.00 - 6.000,200.00 , 565.00 , 6.000,6,400
2213,3022,3022,Jewlery,Diana Chain 3022,250.00 - 665.00 - 5.000,250.00 , 665.00 , 5.000,5,500
2214,3023,3023,Jewlery,Diana Chain 3023,75.00 - 185.00 - 11.000,75.00 , 185.00 , 11.000,11,125
2215,3024,3024,Jewlery,Leg Chain 3024,210.00 - 485.00 - 2.000,210.00 , 485.00 , 2.000,2,350
2216,3025,3025,Jewlery,Leg Chain 3025,230.00 - 465.00 - 0.000,230.00 , 465.00 , 0.000,0,400
2217,3026,3026,Jewlery,Pendon 3026,100.00 - 295.00 - 52.000,100.00 , 295.00 , 52.000,52,200
2218,3027,3027,Jewlery,Pendon 3027,250.00 - 595.00 - 16.000,250.00 , 595.00 , 16.000,16,400
2219,3028,3028,Jewlery,Pendon 3028,300.00 - 785.00 - 6.000,300.00 , 785.00 , 6.000,6,580
2220,3029,3029,Jewlery,Pendon 3029,150.00 - 365.00 - 35.000,150.00 , 365.00 , 35.000,35,250
2221,3030,3030,Jewlery,Pendon 3030,500.00 - 1150.00 - 5.000,500.00 , 1150.00 , 5.000,5,800
2222,3031,3031,Jewlery,Pendon 3031,200.00 - 485.00 - 17.000,200.00 , 485.00 , 17.000,17,300
2223,3032,3032,Jewlery,Pendon 3032,300.00 - 795.00 - 14.000,300.00 , 795.00 , 14.000,14,550
2224,3042,3042,Jewlery,Chain 3042,600.00 - 1695.00 - 100.000,600.00 , 1695.00 , 100.000,100,1200
2225,3043,3043,Jewlery,Bracelet 3043,250.00 - 565.00 - 0.000,250.00 , 565.00 , 0.000,0,500
2226,3044,3044,Jewlery,Bracelet 3044,280.00 - 595.00 - 15.000,280.00 , 595.00 , 15.000,15,400
2227,3045,3045,Jewlery,Bracelet 3045,150.00 - 365.00 - 0.000,150.00 , 365.00 , 0.000,0,300
2228,3046,3046,Jewlery,Chain 3046,200.00 - 495.00 - 0.000,200.00 , 495.00 , 0.000,0,400
2229,3047,3047,Jewlery,Chain 3047,300.00 - 795.00 - 21.000,300.00 , 795.00 , 21.000,21,700
2230,3048,3048,Jewlery,Chain 3048,600.00 - 1390.00 - 18.000,600.00 , 1390.00 , 18.000,18,900
2231,3049,3049,Jewlery,Chain 3049,150.00 - 365.00 - 2.000,150.00 , 365.00 , 2.000,2,250
2232,3050,3050,Jewlery,Chain 3050,500.00 - 1395.00 - 54.000,500.00 , 1395.00 , 54.000,54,900
2233,3051,3051,Jewlery,Chain 3051,75.00 - 215.00 - 0.000,75.00 , 215.00 , 0.000,0,180
2234,3052,3052,Jewlery,Silver Ladies Chain 3052,120.00 - 395.00 - 1.000,120.00 , 395.00 , 1.000,1,250
2235,3053,3053,Jewlery,Gold Bracelet 3053,150.00 - 395.00 - 15.000,150.00 , 395.00 , 15.000,15,250
1352,3057,3057,Skin care,Carotone Face Wash 125,500.00 - 1150.00 - 8.000,500.00 , 1150.00 , 8.000,8,900
3834,3065,3065,Party items,B candles Medium,50.00 - 140.00 - 29.000,50.00 , 140.00 , 29.000,29,100
3835,3066,3066,Party items,B Candles Large,60.00 - 170.00 - 13.000,60.00 , 170.00 , 13.000,13,130
3838,3069,3069,Party items,birthday Balloons 3069,10.00 - 15.00 - 1538.000,10.00 , 15.00 , 1538.000,1538,15
3839,3070,3070,Party items,BirthDay Balloons Big 3070,15.00 - 30.00 - 190.000,15.00 , 30.00 , 190.000,190,30
